Old Ward Code,New ward code,Ward,Borough,lifespan,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Mean Age - 2013,Median Age - 2013,Area - Square Kilometres,Population density (persons per sq km) - 2013,% BAME - 2011,% Not Born in UK - 2011,% English is First Language of no one in household - 2011,General Fertility Rate - 2013,Male life expectancy -2009-13,Female life expectancy -2009-13,"Rate of All Ambulance Incidents per 1,000 population - 2014",Rates of ambulance call outs for alcohol related illness - 2014,Number Killed or Seriously Injured on the roads - 2014,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Rate of new registrations of migrant workers - 2011/12,Median House Price (£) - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,% with Level 4 qualifications and above - 2011,A-Level Average Point Score Per Student - 2013/14,A-Level Average Point Score Per Entry; 2013/14,Crime rate - 2014/15,Violence against the person rate - 2014/15,Deliberate Fires - 2013,% area that is open space - 2014,Cars per household - 2011,Average Public Transport Accessibility score - 2014,% travel by bicycle to work - 2011,Turnout at Mayoral election - 2012
00AJGC,E05000170,Acton Central,Ealing,82.6,15850,3150,11050,1600,20,69.9,10.2,35.1,33,1.8,8750,40,48.3,21,62.9,79.3,86.1,109.3,0.8,1,7576,69.4,62.7,570000,167,36500,6480,3.6,23.4,12.9,60.1,40.3,23.3,33.8,12.8,67.4,19.8,13.8,16.5,5.8,4,15.9,5.9,48.1,265,88.9,335.7,1,14.3,40.4,726.2,217.8,77.9,26,0.1,24.2,0.7,3.1,5.8,35.3
00AJGD,E05000171,Cleveland,Ealing,83,14850,3200,9750,1900,21.7,65.7,12.7,36.7,36,2.2,6750,36.9,39.6,15.1,62.2,79.5,86.3,95.1,0.4,3,6625,68.6,26.6,500000,174,41730,5837,4.1,22.7,22.1,51.1,54.2,21.5,21.7,11.9,58.2,29.9,12.2,12.8,4.9,3.2,14.5,5.7,48,299,44.4,338.9,0.8,13.1,46.2,727.2,220.7,47.8,13.7,0.2,34.7,0.9,3,3.1,42
00AJGE,E05000172,Dormers Wells,Ealing,80.6,14150,3150,9250,1750,22.4,65.3,12.3,35.3,33,2.3,6152.2,82.1,56,29.1,72.3,78.3,82.9,126.2,0.5,1,5600,61,54.7,265000,56,29350,4441,5.3,26.9,27.1,40.6,49.1,28.4,19.2,33.1,66.9,0,14,14.5,4.9,4.3,16.4,8.3,53.9,140,100,308.5,0.7,23.5,24.4,672.1,208.7,54,21.1,0.2,47.3,1,3.3,1.2,37.9
00AJGF,E05000173,Ealing Broadway,Ealing,81.5,15550,2300,11400,1850,14.6,73.3,12,37.5,34,1.9,7868.4,30.5,44.3,18.6,41.3,78.8,84.1,135.7,1.5,1,7745,75.1,49.8,459970,270,45540,6428,10.4,12.1,7.3,70.1,43.4,11,42.4,8,62.5,29.5,9.2,8.7,3.1,1.9,7.7,2.9,43.4,416,37.5,349.3,0.8,7.3,57.7,773,228.8,145.7,37.2,0.1,6.1,0.8,5,3,39.9
00AJGG,E05000174,Ealing Common,Ealing,80.8,14200,2250,10250,1700,15.7,72.3,12,37.4,35,2.1,6809.5,31.5,43.1,15.4,53.8,78.7,82.8,99.4,0.7,6,7687,74.6,51,536000,169,43600,6023,8.7,18.3,15.7,57.3,46.8,14.6,36.4,4.7,69.4,25.9,9.1,10.1,3.7,2,11.9,3.7,49.4,360,88.9,338.9,1.1,10.8,52.6,685.9,219.8,68.9,15.4,0.2,22.2,0.9,3.6,4.2,37.7
00AJGH,E05000175,East Acton,Ealing,82.3,19800,3950,14200,1700,19.8,71.6,8.5,33.5,31,4.3,4523.3,50.1,54.4,22.4,64,79.1,85.6,115.2,0.7,8,9269,68.3,93.1,390500,224,32930,7358,3.5,20.1,16.2,59.9,36,22.1,34.1,13.6,74,12.4,14.6,13.7,4.8,3.5,21.2,7.7,53.4,241,100,305.9,1.3,15,38.3,696.4,212,103.7,22.5,0.3,19.6,0.7,4,4.9,31.1
00AJGJ,E05000176,Elthorne,Ealing,81.1,15100,3150,10350,1600,21,68.5,10.5,35.5,35,2,7450,34.9,40.6,16.9,75.8,78.5,83.5,116,0.9,2,7500,73.1,40.6,408750,190,38970,6252,2.5,15.9,29.5,52,48.2,20.2,27.8,8.3,85.4,6.3,13.3,14.7,4.9,3.3,13.2,4.8,43.7,258,75,313.4,1,15.1,40.6,710,217.8,77.5,26.4,0.1,34.2,0.8,3.8,4,35.8
00AJGK,E05000177,Greenford Broadway,Ealing,80.1,17750,4400,11300,2050,24.7,63.7,11.5,34.3,33,2.5,7120,57.3,48.6,22.2,75,77.9,82.3,134.7,0.8,6,7668,66.4,45.7,249000,160,30500,6532,5,22.1,20.9,51.6,47.6,23.4,24.5,14.7,84.4,0.9,14.9,15,5.1,3.2,19.2,8.5,53.2,193,100,315.4,1,21.9,25.8,682.9,208.9,81.2,27.9,0.4,26.2,0.9,3.4,1.7,32.6
00AJGL,E05000178,Greenford Green,Ealing,82.8,14500,3100,9600,1800,21.2,66.2,12.6,36,34,3.4,4264.7,49,50.1,21.9,80.6,81.5,84.3,112.6,0.7,2,7003,72.6,57.2,307000,135,35420,5138,4.8,39.1,26.7,29.4,63.1,9.7,25.1,6.5,92.5,1,9.9,8.8,3.7,1.9,10.1,4.2,40.5,393,62.5,324.9,0.7,17.8,30.2,720.1,214.1,74.8,17.9,0.1,22.6,1.1,2.6,1.5,33.3
00AJGM,E05000179,Hanger Hill,Ealing,85,15750,3000,10550,2200,19.1,66.9,14,37.4,35,3.3,4787.9,43.1,53.1,23.8,56.8,82.2,87.8,87.8,0.3,5,7640,71.9,52.8,519000,209,44760,6334,11.4,20.7,19.7,48.2,54.2,4.7,38.1,5.6,57.5,36.9,7.3,7.7,2.3,1.9,8,3.5,46.1,495,44.4,330.2,1,9.2,50.8,687,210.3,60.4,14.7,0.1,26.7,1,3.7,2.3,36.1
00AJGN,E05000180,Hobbayne,Ealing,81.6,14300,3250,9350,1750,22.5,65.4,12.1,36,35,2.2,6522.7,37.7,40.7,17.2,73.1,78.4,84.6,105.6,0.4,2,6644,70.6,29.2,386250,124,36220,5410,4.8,26,33,36.2,54,25.2,19,4.5,89.8,5.7,13.9,14.3,5.2,3.2,15.8,6,44.4,331,66.7,328,0.9,18.2,33.3,711.2,215.9,44.2,15,0.4,36.1,0.9,3.1,3.2,40.5
00AJGP,E05000181,Lady Margaret,Ealing,80.9,14100,2750,9600,1700,19.7,68.1,12.2,36.3,34,1.5,9433.3,83.5,55.9,25.2,78.7,78.1,83.9,113,0.6,1,6368,66.6,60,285000,64,32520,4082,6.7,26.4,54.8,12.2,69.4,7.3,21.3,7.2,92.8,0,10.8,7.9,4,2.6,12.8,4.7,48,350,75,337.1,0.8,19.8,25.4,716.2,222.9,46.2,18.4,0.6,19.4,1.3,3,1,35.5
00AJGQ,E05000182,Northfield,Ealing,83.9,13700,2700,9400,1600,19.6,68.7,11.7,36.5,36,1.5,9133.3,23.2,36.2,11.1,64.1,81.8,86.1,96,0.5,1,7455,78.6,35.9,615000,182,48480,5391,2.9,17.8,45.3,34,66.3,6.7,25.6,3.4,80.6,16,5.7,5.9,2.1,1.2,6.3,1.7,31.4,540,12.5,379.5,0.3,8.7,54.8,793,231.2,44.5,12.6,0.3,25.6,0.9,3.4,4.6,45.1
00AJGR,E05000183,North Greenford,Ealing,84.3,14900,3050,9900,1900,20.5,66.6,12.9,36.3,34,3.2,4656.3,56.4,51.4,22.1,69.7,81.4,87.1,80.8,0.3,0,7263,72.3,60.5,345000,116,36480,4972,4.4,35,40.2,20.2,66.5,8.3,22.9,7.8,91.8,0.4,8.5,7,2.8,2,10.7,4.1,42.5,436,25,323.2,0.9,16.9,30.1,700.5,217.5,51.8,11.7,0.6,53.3,1.2,2.6,1.2,33.9
00AJGS,E05000184,Northolt Mandeville,Ealing,82.8,15350,3600,9900,1850,23.4,64.5,12.1,35,34,2.8,5482.1,51.7,44.1,19.5,75.4,81.6,84,109.5,0.7,6,6724,67.3,39.5,300000,132,31950,5708,3.7,29.6,25.3,40.8,53.3,24.2,19.4,14.6,84.7,0.7,15.3,14.6,5,3.4,20.1,8.6,51.3,226,88.9,302.8,1,21.5,25.7,662.9,208.6,63.3,20.6,0.8,34.5,0.9,3.2,1,33.6
00AJGT,E05000185,Northolt West End,Ealing,80.4,15200,3950,9700,1550,26,63.8,10.2,33.7,32,3.5,4371.4,55.1,41.5,18.6,78.6,78,83,111,0.2,10,6057,61.9,31.7,226111,131,28550,5718,3,26.4,17.4,53.1,43,34.5,19.2,29.4,70.5,0.2,18.5,19.4,5.9,4.4,23.1,10.6,55,112,100,319.9,1.1,25.1,21.7,677.2,210.1,67.5,21.1,0.5,56.3,0.9,2.5,1.1,31.6
00AJGU,E05000186,Norwood Green,Ealing,79.6,14200,2950,9650,1600,20.8,67.9,11.4,35.7,33,3.8,3750,78,50.7,25.6,67.9,77.9,81.3,169.7,0.7,2,5521,57.3,51.2,257500,70,29020,4336,10.8,26.4,19.7,42.2,42.6,34.7,17.7,25.9,61,13.2,18,14,6.9,4.2,21.2,8.7,54.1,65,100,309.1,1.1,21.8,26.7,719.9,215.5,91.1,43.5,0.8,54.5,1.1,2.3,1.7,35.6
00AJGW,E05000187,Perivale,Ealing,83.8,15450,3200,10350,1950,20.6,66.8,12.5,36.2,34,3.4,4573.5,54.6,55.4,26.7,70.7,82.9,84.9,90.4,0.6,4,7544,71.4,64.2,367500,118,36040,5447,3.9,33.3,39.1,23.7,62.3,8.5,27,5.5,94.3,0.2,10.3,9.3,3.3,1.9,11.6,4.2,42.2,408,44.4,339.8,0.8,17.4,30.8,733.2,214.2,73.3,16.8,0.1,38.3,1.1,2.3,2.5,34.3
00AJGX,E05000188,South Acton,Ealing,79.2,16200,3350,11100,1750,20.6,68.6,10.8,35.1,33,1.7,9205.9,43.5,50.5,23.4,67.9,77.8,80.4,162.4,1.3,5,6938,68.1,65.2,440000,151,34300,6227,3.7,14.9,8.2,73.2,32.8,33.9,29.2,31,51.2,17.8,13.1,17.5,5.6,3.8,19,6.5,54.7,246,88.9,320.7,1,16.2,39.4,657.4,200.6,88.7,28,0.1,17.5,0.7,4.6,4.3,35.5
00AJGY,E05000189,Southall Broadway,Ealing,80.9,16200,3700,10900,1600,22.7,67.3,10,34.2,31,1.6,9343.8,93.7,64.1,36,100.6,78.8,83.4,155.6,1.5,8,5425,59.1,132,250000,37,27930,3926,8.8,21,45.4,24.8,54.6,16.4,24.9,23.1,76.9,0,13.9,12.5,5.4,4,16.9,6.7,55.9,181,100,315.5,1.1,23.8,21.9,732.9,219.1,107.9,35.8,1,14.1,0.9,3.2,1,41
00AJGZ,E05000190,Southall Green,Ealing,80,15200,3600,10250,1350,23.8,67.3,8.9,33.2,31,1.6,9406.3,91.4,63.3,36.7,115.6,76.5,84.1,129.5,1,3,6042,59.7,123.4,243000,97,27150,4345,8.8,23.1,40.5,27.6,51.4,13.6,31.5,26.3,73.7,0,13.5,13,5.2,4,17.4,9.1,61.6,173,100,305.8,1.1,23.6,21.6,686,212.9,83.9,31.2,0.8,16.3,0.9,3,1.3,35.9
00AJHA,E05000191,Southfield,Ealing,83,13600,2500,9500,1550,18.6,69.9,11.5,36.9,36,1.4,9714.3,20.8,36.2,10.7,77.9,80.3,85.7,72.6,0.6,1,7601,77.6,31.8,780000,219,50170,6207,3,12.3,33.6,51.1,57.1,9.8,31.3,4.8,55.5,39.7,6.9,7.9,3.1,1.8,9.4,2.4,42.4,485,25,350.5,1,9,57.8,698.3,213.6,64.5,11.1,0.3,14.3,0.8,3.1,6.2,42.4
00AJHB,E05000192,Walpole,Ealing,81.9,13500,2600,9400,1550,19.1,69.4,11.5,36.6,35,1.5,9033.3,27.1,38,14.1,68.8,79.9,83.8,101.6,1,4,7364,77.3,40.6,612500,168,46240,5656,4.4,19.6,31.3,44.6,56.7,12,28.8,7.3,71.7,21,8.3,8.6,2.8,2,7.3,2.7,45.1,423,37.5,371.3,0.5,10.2,53.7,787.6,234.5,73.8,19.7,0,20.1,0.8,3.8,5.1,43.8
00AKGL,E05000193,Bowes,Enfield,84.2,14550,2650,10250,1650,18.2,70.4,11.3,36.2,34,1.5,9733.3,38.6,47.5,23.3,67.4,83,85.1,81.9,0.2,5,7292,71.9,64.6,319995,147,36300,5598,3.4,14.8,36.4,45.5,55.2,10.7,32.1,8.7,86.8,4.5,14,11.8,4.2,2.5,17.8,5.1,41.1,279,75,329.8,1.1,16.7,36.3,702.2,211,50.8,14.7,0.1,15.3,0.8,3.9,2.1,31.9
00AKGM,E05000194,Bush Hill Park,Enfield,83,14150,2500,9050,2600,17.6,64,18.4,40.6,40,2.5,5720,26.8,25.7,7.7,55.6,81.7,84.1,128.6,0.3,3,6585,73,12.3,360200,223,41800,5609,5,32.6,34.3,28,78.5,5.2,15.1,4.1,78.5,17.4,9,6.1,3,1.8,9.7,3.4,40.1,504,33.3,353.4,0.9,20.4,32.6,671.8,216.5,53.9,10.4,0.4,29.6,1.3,2.7,1.6,36.7
00AKGN,E05000195,Chase,Enfield,79.5,14000,3150,8950,1950,22.3,63.8,13.9,36.9,36,16.9,834.3,23.4,21,7,66.9,77.3,81.4,111,0.2,5,6180,69.5,10.4,324000,173,36350,5744,9.2,19.8,33.4,37.1,60.4,21.3,15.7,23.2,68.5,8.4,14.4,14.2,5,2.9,18.5,7.6,55.3,292,62.5,317,1.4,22.4,28.1,684.9,216.4,55.8,15.4,0.9,81.5,1.1,2,1.9,35.8
00AKGP,E05000196,Cockfosters,Enfield,84.6,14100,2250,9100,2750,16.1,64.5,19.4,40.7,39,10.4,1370.2,26.3,30.5,9.5,54,82.9,86.1,119.5,0.5,2,5885,66.9,17.1,472000,185,43570,5356,21.9,30.1,9.4,38.6,68.7,12,17.4,5.1,45.4,49.5,8.8,7.8,3.1,1.6,10.2,4,48.4,496,37.5,339.7,0.9,19,35,777.3,226.2,46.4,11.6,0.5,68.8,1.3,2.6,0.7,33.7
00AKGQ,E05000197,Edmonton Green,Enfield,81.9,18350,4950,11750,1600,27.1,64.2,8.8,32,30,3.1,5951.6,60.6,46.8,21.4,80,79.3,84.3,163.9,1.5,2,6144,53.8,54.4,210000,119,26010,6999,4.8,15.6,20.8,58.7,29.7,43.1,23,36.4,63.4,0.1,26.4,29.5,8.3,6.2,27.4,14.8,58.5,14,100,293.6,2.1,30.5,19.5,644.3,203.8,117.7,36.7,1,33.2,0.6,3.9,1.2,34.1
00AKGR,E05000198,Enfield Highway,Enfield,83,16350,4050,10500,1800,24.9,64.2,10.9,33.7,31,4.6,3576.1,42.2,34.3,14.5,67.5,81,84.9,127.8,0.8,3,6112,60.1,19.8,250000,157,29450,5943,4.5,22,38.8,34.6,52.5,24.4,20.7,21.1,77.7,1.2,18.8,19.1,6.2,4,26.7,13.3,60.4,168,100,311.3,1.7,30.1,18.6,638.3,205.5,82.4,25.7,1,40.6,1,2.5,1.7,30
00AKGS,E05000199,Enfield Lock,Enfield,79.2,17000,4500,11100,1400,26.4,65.4,8.3,32.3,31,3.3,5166.7,45.1,33.8,14,78.8,76.7,81.6,113.2,0.4,2,6586,62,22.9,217250,204,30240,6422,6.8,20.4,32.6,40.2,49.9,22.7,24.1,15.5,81.9,2.7,19.5,20.6,5.8,4.1,27.5,14,61,199,100,303.4,2.2,26.5,23.5,659.6,211.5,69.2,23.6,0.5,39.6,0.9,2.6,1.7,29.6
00AKGT,E05000200,Grange,Enfield,85.2,13300,2300,8400,2600,17.3,63.1,19.6,41.3,41,3.3,4015.2,19.6,22.1,6.4,53.3,83.5,86.6,116.8,0.5,1,6045,74.8,12.3,360000,243,45960,5396,15.5,32.6,13.5,38.4,77.2,3.4,18,3.7,56.1,40.2,6.6,5.2,7.7,1.4,7.6,3.3,44.3,575,12.5,364.5,0.9,16.1,39.1,762.6,221.6,59.4,13,0.5,27.4,1.3,3.1,1.2,40.8
00AKGU,E05000201,Haselbury,Enfield,82.3,16500,4050,10800,1700,24.5,65.3,10.2,33.9,32,1.8,9277.8,54.3,46,22.1,71.1,79,85.4,103.7,0.5,3,6292,59.3,39.8,260000,133,29600,5927,5.9,21.8,40.3,31.9,50.7,19.5,27.5,16,83.6,0.3,19.5,19.6,6.4,4.4,23.8,12.5,56,162,100,307.5,2.1,27.2,21.4,677.2,214.8,61.1,19.9,0.5,27,0.8,3,1.1,33.3
00AKGW,E05000202,Highlands,Enfield,84.9,13550,2200,8700,2600,16.4,64.3,19.3,41.4,41,5.1,2647.1,20.8,20.9,5.4,62.7,82.5,87.2,163.1,0.3,2,6120,72.9,11.6,375000,237,43540,5696,14.5,34,13.4,38,74.2,7.4,17,4.8,58,37.2,10.1,6.7,3.8,1.3,11.9,2.9,35.4,488,50,347,0.9,18.7,35.1,719,215.8,40.4,11.8,0.2,56.4,1.2,2.7,1.2,38.4
00AKGX,E05000203,Jubilee,Enfield,80.7,14600,3500,9350,1750,24.1,64.1,11.9,35.4,34,3.9,3782.1,50.9,40.8,16.9,83.2,78.8,82.4,119.5,0.3,2,5744,62.2,29.8,250000,137,30800,5420,5.3,19.9,47.2,27.5,57.7,15.5,24.8,14.8,84.8,0.4,17.2,17.9,6.5,3.9,23.6,9.5,52.2,205,100,310.4,1.5,28.5,20.9,624.8,206.4,58.8,18.8,0.6,60.6,1,2.5,1,31.1
00AKGY,E05000204,Lower Edmonton,Enfield,81.1,16700,4700,10300,1700,28,61.8,10.2,32.7,31,2.2,7681.8,58.9,46.1,19.5,98.2,79.6,82.5,117.7,0.3,2,6057,57.9,41.8,248000,161,28110,6179,6.9,15.1,44.7,33.3,44.8,27.4,24.4,15.3,84.5,0.2,20.1,22.7,6.9,5.3,25.2,13.6,53.7,119,100,304,2.2,28.5,20,629.4,201,56.2,21.9,0.6,40.6,0.7,3.2,1.2,33
00AKGZ,E05000205,Palmers Green,Enfield,83.4,15650,2900,10550,2250,18.5,67.2,14.2,37.5,35,1.9,8263.2,35.4,41.4,18.1,67.8,80.9,85.7,114.7,0.5,3,7225,70.2,34.7,353500,128,37970,5898,3.1,19.6,41.4,35.9,63,9,25.4,6.6,87.5,5.9,12.9,9.4,4,2.3,13.5,4.7,41,333,77.8,336.5,1,20.6,33.5,732.4,220.2,70.3,16.4,0.6,15.4,1,2.5,1.5,33.9
00AKHA,E05000206,Ponders End,Enfield,80.4,17050,4400,11100,1550,25.7,65.2,9.1,32.4,30,3.5,4771.4,54.6,43.5,19,68.5,76.7,84.4,130.4,0.8,1,5902,58,26,248000,118,28560,5787,5,15.2,34.9,45,45.5,25.6,25.4,23.7,76.2,0.2,19.6,20,5.6,5.3,22,12.6,54.8,127,100,313.5,1.6,26.9,21,634.1,207.5,80.6,24.3,0.7,44.5,0.8,3.3,1.4,29.7
00AKHB,E05000207,Southbury,Enfield,83,14950,3700,9700,1500,24.7,65.1,10.2,33.9,33,2.9,5172.4,36.2,30.2,12,75.1,79.8,85.7,116.6,0.4,3,6183,65,16.4,265000,304,33260,5650,3.3,14.1,43.4,39.2,53.5,24,21,16.4,82.4,1.2,16.8,17.4,5.5,3.3,21.1,10.5,56.3,222,100,327.2,1.5,24.6,25.4,641.5,209.1,98.8,25.1,0.8,29.3,0.9,3.1,2,34
00AKHC,E05000208,Southgate,Enfield,82.6,14800,2850,9900,2050,19.2,66.9,13.9,37.8,36,2.7,5537,31.6,33.2,11.7,62,80.9,84.1,107.9,0.4,1,6886,71.1,26.1,347500,172,41520,6065,7.2,30.7,13.2,49,61.7,7.4,28.3,3.1,69.7,27.2,9.4,8.8,2.9,1.6,11.2,5,43.7,513,25,360.6,0.8,16.1,41.2,746.4,221.2,62.6,17.5,0.1,27.1,1.1,3.1,0.8,34
00AKHD,E05000209,Southgate Green,Enfield,83,14400,2550,9550,2250,17.9,66.4,15.7,38.9,37,2.6,5538.5,33.2,36.2,14,57.2,81.2,84.7,111.8,0.4,2,6464,70.4,34.8,500000,127,42750,5244,5.2,38.1,20.2,36.4,65.3,12,21.4,7,58.2,34.8,9.7,7.9,3.2,2.1,10.7,4.4,47.7,402,33.3,348.5,0.9,16.3,40,796,231.3,43.2,10.2,0.2,20.6,1.1,3.9,1.5,35.8
00AKHE,E05000210,Town,Enfield,84,15150,3000,9750,2400,19.8,64.2,15.9,38.9,39,2.2,6954.5,18,17.1,4.4,71,82.1,85.4,120.5,0.7,4,7349,75.9,8.4,350000,240,42300,6233,2.7,29.2,36.6,31.5,74.7,6.1,17.3,5.8,88.6,5.6,8.8,7.3,3.1,1.6,11.1,3.9,45.8,520,11.1,327.9,0.7,17.4,33,659.9,207.8,50.3,13.3,0.3,16,1.2,2.6,1.6,39.5
00AKHF,E05000211,Turkey Street,Enfield,80.3,14700,3600,9350,1750,24.4,63.7,11.8,34.6,33,2.3,6434.8,37.9,31,14.1,78.2,78.1,82.3,131.1,0.4,1,5507,60.9,17.1,250000,147,28960,5467,4.3,26.6,36.1,33.1,52.1,26.3,19.1,17,82.1,0.9,20.6,19.7,6.6,4.4,27.4,13.1,60.4,141,100,306.5,2,30.2,17.9,633.3,206.6,74.5,23.7,0.8,30.5,1,2.5,1.6,29.4
00AKHG,E05000212,Upper Edmonton,Enfield,77.5,18600,4800,12050,1750,25.7,65,9.3,32.8,31,2.7,6777.8,58,48.4,22.7,66,76.1,78.6,170.4,0.6,4,6599,58.4,40.8,250000,118,28480,6318,5.9,16.2,40.4,37.3,44,29.8,24,26.3,73.7,0,21,20.6,6.4,4.4,24.2,13.2,56.3,74,100,290.8,2,28.3,21.5,636.6,207.3,120.2,29.1,1,17.6,0.8,3.4,1.3,32.7
00AKHH,E05000213,Winchmore Hill,Enfield,82.1,13700,2550,9050,2100,18.6,66,15.4,39.3,39,2.8,4928.6,23.8,27,8.1,58.2,81.4,82.9,102.6,0.4,1,6715,75.1,18.2,435000,205,45880,5470,8.7,31,19.9,40.3,69.9,6.4,22.2,4.2,54.2,41.7,8.4,6.6,2.7,1.8,7.2,2.7,35.1,491,37.5,351,0.7,15.4,42.9,767.7,227.5,43.7,9.2,0.1,25.2,1.2,2.9,1.4,38.5
00ALGP,E05000214,Abbey Wood,Greenwich,79.1,16200,4300,10250,1650,26.4,63.4,10.2,33.8,33,2.7,5722.2,46.3,32,7.6,86.1,76,82.3,116.8,0.5,3,6347,63.6,35.9,250000,118,31540,6053,3.1,10.5,48.6,37.5,44.4,38.9,15.2,36,63.8,0.2,20.6,17.2,7.1,3.6,23,10.6,51.2,97,100,301.1,1.2,25.3,24.2,683.8,206.7,77.6,28.6,0.9,44,0.7,3.1,1,29
00ALGQ,E05000215,Blackheath Westcombe,Greenwich,81.6,13300,2300,8950,2000,17.3,67.6,15.1,39.3,38,2.1,6047.6,16.9,23,5.2,59,80.7,82.5,108.8,0.5,0,6675,75.5,21.1,427500,262,49160,6380,7.8,13.2,12.8,66.3,49.9,22.4,25.4,12.2,67.6,20.3,10.3,8.7,3.6,1.6,10.6,2.8,43.4,344,87.5,327.4,1.2,12.1,57.5,754.4,216.3,76.6,16.1,0.4,15.4,0.8,3.4,4.8,43.8
00ALGR,E05000216,Charlton,Greenwich,78.2,14650,3300,9700,1650,22.6,66.2,11.2,35.2,34,2,7050,36.2,31,9.4,76,76.3,80,108.5,0.5,0,6572,67.7,49.7,363000,173,37940,5869,3,17.8,31.7,47.5,41.7,41.1,15.9,36.8,62,1.2,17.1,14.8,5.5,3.1,18.5,7.6,51.7,146,100,316.2,1.4,20.8,37.2,708.9,214.3,60.7,21,0.7,31.5,0.7,4,3.1,37
00ALGS,E05000217,Coldharbour and New Eltham,Greenwich,81.3,13450,2350,8650,2450,17.4,64.5,18.1,40.3,40,2.5,5180,18.3,15.6,3.6,59.6,78.4,84,116.3,0.7,0,5957,70.7,10.8,325000,239,38390,5231,5.4,55.4,14.6,24.6,65.5,23.5,9.8,11.8,85,3.2,13.1,9,4.9,1.9,14.7,4.1,42.4,338,62.5,319.5,0.8,25.4,23.4,688.8,208.7,58.1,17,0.5,20,1.1,2.9,1.2,33.8
00ALGT,E05000218,Eltham North,Greenwich,83.9,12900,2250,8250,2400,17.6,63.9,18.5,41.2,42,2.6,4788.5,11.3,13.9,3.4,55.3,81.1,86.6,99.6,0.5,2,6087,75.1,9.1,345000,178,43120,5249,3.4,34.1,41.7,20.9,73.1,17,8.4,11.5,78.7,9.8,10,6.9,3.2,1.7,8.4,2.7,38.4,457,25,339,0.7,20,31.8,755.9,214.7,67.2,17.4,0.1,24.6,1.1,2.9,2.2,43.4
00ALGU,E05000219,Eltham South,Greenwich,82.4,13100,2050,8950,2050,15.8,68.5,15.7,37.9,34,4.6,2717.4,16.8,17.5,4.6,49.9,79.8,84.8,130.3,0.8,2,5537,64.9,20.9,288750,218,37120,5224,7.1,28.6,19.8,44.4,59.8,22.4,15,19.4,66.5,14.1,12.6,9.3,3.8,2.4,19,4.8,50,306,75,352.5,1.2,21.5,25.1,703.8,211.2,75.9,19.8,0.4,54.6,1,3.3,1.6,32.3
00ALGW,E05000220,Eltham West,Greenwich,79.2,12500,2700,8350,1450,21.5,66.9,11.6,36.2,35,2.4,4666.7,24.6,21.3,6.4,64.7,76.6,81.7,129.4,0.4,3,4374,64,13.3,315500,226,34250,3859,3.1,43.9,38.5,14.5,45.3,44.1,8.3,8.7,88.8,2.5,17.7,15.2,5.3,3,23.6,7.3,49.5,100,100,310.9,1.6,30.8,21.2,690.1,211.8,59.9,18.4,0.4,30.5,0.9,3.1,1.5,27.8
00ALGX,E05000221,Glyndon,Greenwich,77,18500,4350,12750,1400,23.6,68.8,7.6,32.8,32,1.7,10441.2,55,42.2,13.8,89.1,75.3,78.8,113.6,0.5,1,7961,62.5,62.6,224995,181,31690,6881,3.4,8.9,36.2,51.5,30.4,41.4,24.7,40.7,59.3,0,19.7,17.3,6.3,4,21.7,8.7,49.2,73,100,317.5,1.8,21.4,28.6,687.1,203.2,60.9,25.5,1.5,32.6,0.6,4,1.3,28.1
00ALGY,E05000222,Greenwich West,Greenwich,81.1,18450,3450,13550,1450,18.8,73.3,7.9,33.1,32,2.8,6053.6,33.3,34.8,9.7,56.7,79.4,82.7,117.9,1.1,4,8485,68.6,46.4,450000,897,42270,7359,2,4.9,21.3,71.7,32,35.7,28.8,32.6,50.4,17,13.4,12.9,3.4,2.4,17.7,6,46.2,230,100,310.9,1.4,12.8,49.9,642.9,210.4,104,25,0.5,49,0.6,4.6,4.2,35.9
00ALGZ,E05000223,Kidbrooke with Hornfair,Greenwich,81.4,14650,2900,9950,1850,19.7,67.7,12.5,36.7,35,2.4,5854.2,33.6,27.3,7.6,64.9,79.7,83,106.6,0.4,1,6525,67.3,29.6,260050,223,35740,5968,4,31,29.4,35.7,50.1,32.1,15.9,17.6,78.5,3.9,16.2,12.6,5.7,2.5,20.6,6.3,48.5,198,100,313.1,1.6,23.7,30.8,743.4,218.5,70.3,23.5,0.8,28.2,0.9,2.6,2.8,29.2
