Old Ward Code,New ward code,Ward,Borough,lifespan,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Mean Age - 2013,Median Age - 2013,Area - Square Kilometres,Population density (persons per sq km) - 2013,% BAME - 2011,% Not Born in UK - 2011,% English is First Language of no one in household - 2011,General Fertility Rate - 2013,Male life expectancy -2009-13,Female life expectancy -2009-13,"Rate of All Ambulance Incidents per 1,000 population - 2014",Rates of ambulance call outs for alcohol related illness - 2014,Number Killed or Seriously Injured on the roads - 2014,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Rate of new registrations of migrant workers - 2011/12,Median House Price (£) - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,% with Level 4 qualifications and above - 2011,A-Level Average Point Score Per Student - 2013/14,A-Level Average Point Score Per Entry; 2013/14,Crime rate - 2014/15,Violence against the person rate - 2014/15,Deliberate Fires - 2013,% area that is open space - 2014,Cars per household - 2011,Average Public Transport Accessibility score - 2014,% travel by bicycle to work - 2011,Turnout at Mayoral election - 2012
00AEGT,E05000094,Kilburn,Brent,83.1,17550,3400,12500,1650,19.5,71.1,9.4,34.6,33,0.9,19333.3,50,48.1,18.4,59.6,80.1,86,131,0.9,4,8518,68.9,74.9,444631.5,216,34270,7840,1.1,2.5,10.2,86.1,24,45,28.8,30.8,65.5,3.6,20.1,19.5,5.9,4.7,22.5,5.8,47.1,39,100,319.2,1,17.1,39.9,614.8,203.3,79.3,27.1,0.1,11.1,0.4,5.5,5.8,32.8
00AEGU,E05000095,Mapesbury,Brent,81.5,16000,2750,11750,1500,17.2,73.4,9.4,35,33,1.4,11357.1,43.4,52.3,21.3,63.1,78.7,84.5,116.2,0.8,10,8290,70.6,122.6,450000,189,36830,6496,5.9,11.3,7.9,75,34.4,19.2,44.8,18.4,67.9,13.6,16.1,15.8,5.1,3.9,15.3,4.6,44.9,213,100,314.1,1.2,14.5,43.7,682.8,215.4,71.8,21.3,0.3,9.6,0.6,4.5,3.5,33.6
00AEGW,E05000096,Northwick Park,Brent,82.7,13300,2150,9350,1800,16,70.3,13.7,37.3,34,2.7,4888.9,68.8,53.3,19.8,54.6,80.7,84.9,121.8,0.5,2,6055,67.4,43.3,470000,85,41100,4316,15,46.3,6.3,32.4,62,16.2,19.2,3,71.4,25.6,8.8,6,2.3,1.7,9.2,2.9,36.7,396,50,345.7,0.7,13.4,40.3,708.3,221.1,64.7,19.2,0.2,32,1.3,2.7,1,29.7
00AEGX,E05000097,Preston,Brent,82.7,15750,3300,10400,2050,20.8,66.2,13,35.9,33,2.4,6541.7,70,57.3,22.8,68.6,80,85.4,106.8,0.7,2,6964,67,76,350000,131,35960,5118,6.9,45.2,9.6,38.3,54.6,12.6,29.2,4.4,82.4,13.2,12.2,9.9,3.6,2.4,13.2,5.4,41.2,330,88.9,339.1,1.1,17.5,35.4,718.8,215.2,57.9,17.1,0.4,19.2,1,3.4,1.1,31.3
00AEGY,E05000098,Queens Park,Brent,83.8,15500,3200,10750,1550,20.5,69.6,9.9,35.6,35,1.5,10300,37,41.9,14.4,62.8,80,89.5,102,0.7,7,8501,75.8,66.1,677500,198,42880,6446,1.8,8.1,26.7,63.4,44.2,19.9,33.9,7.2,75,17.8,13.5,10.9,4.2,2.6,12.3,4.2,39.4,267,100,345.8,0.9,13.3,48.2,743,217.6,72.9,19.4,0.3,19,0.7,5,7.4,35.5
00AEGZ,E05000099,Queensbury,Brent,82.2,16800,3350,11400,2100,19.8,67.8,12.4,36.2,33,2,8050,72.9,57.7,24.1,64.8,81.7,83.1,100.7,0.4,4,6945,67.7,52.8,366000,109,35110,4810,5.6,45.4,23,26.1,59.4,15.3,21.6,3.1,92.8,4.1,10.5,8.5,3.3,1.9,10.3,5.4,51.9,343,87.5,332,0.8,21.4,30.8,742.9,219.8,65,17.1,0.3,13.7,1.2,3,0.5,32.6
00AEHA,E05000100,Stonebridge,Brent,79.3,17600,4700,11350,1600,26.7,64.4,9,32.2,29,4.1,4231.7,76.5,48.8,17.2,74.9,76.2,82.3,207.8,0.9,9,5789,54.2,33.8,249950,63,25800,6021,5.3,15.3,24.1,55.1,18.1,62.3,15.1,30.5,69.1,0.5,28.8,30.3,8,8.1,25.6,13.2,50,4,100,298.6,1.5,25.9,20.5,654.9,206.2,116,39.5,0.6,16.2,0.6,3.2,2,31.3
00AEHB,E05000101,Sudbury,Brent,81.4,15250,3250,10350,1700,21.1,67.8,11.1,35.1,33,2.1,7238.1,77.3,62.2,28.4,78.8,78.7,84.1,102.5,0.8,3,6931,67.4,83.6,249950,91,33530,4944,9.9,25,20.8,44.3,50.5,15,32.6,6.4,89.2,4.4,12,11.9,3.6,2.3,11.8,5.1,42,276,100,331.2,1,18.1,32.3,687,210,51.5,18.1,0.3,34.6,0.9,3.3,1.1,32.4
00AEHC,E05000102,Tokyngton,Brent,81,18900,3800,13300,1850,20,70.3,9.7,34.9,32,2.8,6160.7,76.3,62.9,26.6,64.2,78.1,84.2,126.4,1,3,7164,67.5,110.7,322500,94,33130,5051,4.5,37.5,16.1,41.9,50,12,33.7,21.2,76,2.8,12.6,9.1,2.8,2.1,11.6,4.8,44.1,324,100,310.8,1.1,19.4,31.9,682.8,211.4,82.8,21.3,0.5,19.8,0.9,3.5,1.2,30.2
00AEHD,E05000103,Welsh Harp,Brent,82.9,14000,3000,9300,1700,21.5,66.4,12.1,35.8,34,2.3,6065.2,61.3,55,22.9,70.5,80.1,85.6,116.6,0.4,2,5999,64.9,65.2,292475,118,31620,4923,7,30.5,23.3,39.2,49.9,19.2,28.1,7.8,88.4,3.8,15.6,15,4.9,3.2,16.4,6.6,41.6,212,100,315.7,1.2,22.6,24.7,666.9,212.9,62.9,21.1,0.4,34,0.9,2.8,1.2,32
